epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,63.9529,0.44002,0.69588,1.66489,0.92715,0,0.41332,0.62921,0.50441,0.43273,0.41332,0.62921,0.50446,0.43849,0.43518,0.59471,1.68385,0.86563,0,0.00331081,0.00331081,0.0702027
2,124.106,0.47366,0.63322,0.94807,0.90305,0,0.59085,0.70116,0.61347,0.55469,0.59085,0.70116,0.61353,0.55828,0.41617,0.58744,1.05084,0.83641,0,0.00657837,0.00657837,0.0401369
3,183.32,0.52983,0.62523,0.96581,0.90648,0,0.65319,0.74903,0.73224,0.58795,0.63528,0.75409,0.7116,0.5643,0.65903,1.02432,1.052,0.91451,0,0.00977992,0.00977992,0.0100051
4,241.378,0.58118,0.72779,0.90586,0.93379,0,0.45915,0.64995,0.54504,0.46092,0.45915,0.64995,0.54504,0.46726,0.57644,0.83246,1.60673,0.8775,0,0.009703,0.009703,0.009703
5,299.623,0.58799,0.71082,0.88234,0.93077,0,0.60876,0.73661,0.67577,0.55727,0.60876,0.73661,0.67505,0.58186,0.53753,0.73681,1.06809,0.88132,0,0.009604,0.009604,0.009604
6,357.429,0.59774,0.64939,0.83503,0.93491,0,0.67984,0.72998,0.73377,0.62899,0.67984,0.72998,0.73377,0.62716,0.54222,0.88972,0.94743,0.88681,0,0.009505,0.009505,0.009505
7,417.345,0.57957,0.64014,0.81508,0.94175,0,0.48867,0.82944,0.66433,0.56998,0.48867,0.82944,0.66451,0.56555,0.53503,0.81551,0.92438,0.87323,0,0.009406,0.009406,0.009406
8,476.328,0.57343,0.64164,0.77424,0.93485,0,0.56128,0.79879,0.64985,0.54522,0.56128,0.79879,0.64876,0.54952,0.58548,0.8751,0.98212,0.90905,0,0.009307,0.009307,0.009307
9,534.384,0.57065,0.66646,0.76797,0.93492,0,0.72318,0.76168,0.79355,0.68944,0.72318,0.76168,0.79355,0.70366,0.4796,0.69892,0.74276,0.8621,0,0.009208,0.009208,0.009208
10,592.026,0.56414,0.59165,0.74844,0.93695,0,0.69553,0.87238,0.83264,0.70893,0.69553,0.87238,0.83207,0.73036,0.5127,0.69062,0.72044,0.87952,0,0.009109,0.009109,0.009109
11,649.941,0.53346,0.63895,0.72552,0.9263,0,0.67993,0.83353,0.79198,0.67809,0.67993,0.83353,0.79198,0.69155,0.45386,0.70533,0.74177,0.86675,0,0.00901,0.00901,0.00901
12,709.239,0.54582,0.64862,0.69425,0.92184,0,0.74516,0.81356,0.79544,0.69144,0.74516,0.81356,0.79544,0.71209,0.47376,0.66029,0.70681,0.86339,0,0.008911,0.008911,0.008911
13,767.381,0.52607,0.60663,0.68363,0.90949,0,0.76687,0.77349,0.82857,0.72628,0.76687,0.77349,0.82354,0.72737,0.42383,0.67106,0.81591,0.8578,0,0.008812,0.008812,0.008812
14,826.387,0.5191,0.60951,0.70681,0.91569,0,0.71086,0.84492,0.81386,0.7074,0.71086,0.84492,0.81386,0.7046,0.4551,0.67031,0.76042,0.86448,0,0.008713,0.008713,0.008713
15,885.692,0.50684,0.58561,0.66887,0.9114,0,0.72498,0.80931,0.83017,0.72839,0.72498,0.80931,0.83238,0.74719,0.4704,0.70201,0.69781,0.87265,0,0.008614,0.008614,0.008614
16,944.036,0.49663,0.55877,0.62305,0.90416,0,0.68802,0.68884,0.70267,0.62234,0.68921,0.69259,0.70376,0.63723,0.45826,0.626,0.87988,0.85143,0,0.008515,0.008515,0.008515
17,1002.3,0.49179,0.54162,0.63143,0.90102,0,0.83206,0.81533,0.87558,0.78412,0.83206,0.81533,0.87568,0.78773,0.4207,0.6591,0.59522,0.84092,0,0.008416,0.008416,0.008416
18,1061.64,0.48404,0.5542,0.62668,0.90329,0,0.66913,0.74507,0.73539,0.6532,0.66913,0.74507,0.73546,0.64669,0.43518,0.76369,0.9444,0.85717,0,0.008317,0.008317,0.008317
19,1120.99,0.47649,0.53176,0.62442,0.89919,0,0.80603,0.79481,0.86156,0.76284,0.80603,0.79481,0.86145,0.77423,0.44147,0.62999,0.67748,0.85793,0,0.008218,0.008218,0.008218
20,1179.68,0.46703,0.53535,0.58496,0.88792,0,0.57557,0.79382,0.71277,0.62164,0.57557,0.79382,0.71354,0.63266,0.44279,0.6121,0.9521,0.84518,0,0.008119,0.008119,0.008119
21,1237.96,0.46802,0.51021,0.58495,0.89689,0,0.83149,0.79941,0.86023,0.77613,0.82411,0.79312,0.85382,0.7694,0.38753,0.6332,0.64446,0.83941,0,0.00802,0.00802,0.00802
22,1297.89,0.45972,0.53672,0.57252,0.88835,0,0.75763,0.81123,0.82116,0.74553,0.75763,0.81123,0.82116,0.75397,0.39015,0.59189,0.66733,0.83998,0,0.007921,0.007921,0.007921
23,1357.55,0.44389,0.49031,0.5721,0.88609,0,0.72229,0.83148,0.84507,0.75126,0.72229,0.83148,0.84075,0.75747,0.40987,0.63442,0.72756,0.83833,0,0.007822,0.007822,0.007822
24,1415.95,0.45906,0.50904,0.5379,0.88944,0,0.75043,0.83469,0.82307,0.73259,0.74596,0.8284,0.81717,0.74037,0.39842,0.65013,0.65403,0.84192,0,0.007723,0.007723,0.007723
25,1474.29,0.44731,0.53507,0.54541,0.88981,0,0.67336,0.79369,0.75929,0.68486,0.67336,0.79369,0.75575,0.69038,0.3989,0.62058,0.76402,0.84356,0,0.007624,0.007624,0.007624
26,1531.98,0.4283,0.51348,0.54486,0.87645,0,0.79631,0.83476,0.88031,0.7875,0.78996,0.82847,0.87063,0.78219,0.40007,0.63993,0.66958,0.84359,0,0.007525,0.007525,0.007525
